Datetime,open_time,open,high,low,close,volume
2024-04-10 04:15:00,1712693700000,69107.99,69120.0,69089.09,69119.99,25.27317
2024-04-10 04:16:00,1712693760000,69120.0,69163.99,69119.99,69160.16,24.09409
2024-04-10 04:17:00,1712693820000,69160.16,69200.0,69160.15,69194.35,22.7025
2024-04-10 04:18:00,1712693880000,69194.35,69208.2,69164.04,69164.04,24.18583
2024-04-10 04:19:00,1712693940000,69164.04,69166.73,69131.0,69131.01,9.86495
2024-04-10 04:20:00,1712694000000,69131.01,69160.0,69108.2,69120.01,20.28607
2024-04-10 04:21:00,1712694060000,69120.01,69120.01,69086.63,69094.73,17.11073
2024-04-10 04:22:00,1712694120000,69094.74,69094.74,69083.25,69083.26,8.36919
2024-04-10 04:23:00,1712694180000,69083.25,69096.0,69083.25,69084.0,8.27495
2024-04-10 04:24:00,1712694240000,69084.01,69084.01,69084.0,69084.01,3.45313
2024-04-10 04:25:00,1712694300000,69084.01,69084.01,69070.0,69074.06,13.19941
2024-04-10 04:26:00,1712694360000,69074.06,69078.53,69070.01,69070.01,10.75801
2024-04-10 04:27:00,1712694420000,69070.02,69088.6,69065.03,69065.04,7.51112
2024-04-10 04:28:00,1712694480000,69065.03,69084.68,69060.0,69084.67,10.08814
2024-04-10 04:29:00,1712694540000,69084.67,69100.0,69084.67,69088.0,5.8229
2024-04-10 04:30:00,1712694600000,69088.0,69098.41,69078.16,69091.57,4.54382
2024-04-10 04:31:00,1712694660000,69091.57,69091.58,69068.01,69068.02,8.5863
2024-04-10 04:32:00,1712694720000,69068.01,69084.0,69060.0,69060.01,11.20478
2024-04-10 04:33:00,1712694780000,69060.01,69069.53,69033.54,69034.93,8.90119
2024-04-10 04:34:00,1712694840000,69034.93,69047.35,69027.52,69030.01,8.6687
2024-04-10 04:35:00,1712694900000,69030.0,69075.22,69030.0,69062.34,8.33818
2024-04-10 04:36:00,1712694960000,69062.33,69069.7,69057.23,69057.23,3.87856
2024-04-10 04:37:00,1712695020000,69057.23,69088.0,69057.23,69062.33,17.20002
2024-04-10 04:38:00,1712695080000,69062.34,69074.76,69057.55,69069.16,9.19721
2024-04-10 04:39:00,1712695140000,69069.16,69069.17,69058.43,69058.43,6.55581
2024-04-10 04:40:00,1712695200000,69058.43,69069.17,69058.43,69069.16,8.44433
2024-04-10 04:41:00,1712695260000,69069.16,69107.01,69018.75,69031.83,22.68482
2024-04-10 04:42:00,1712695320000,69031.83,69031.84,69024.0,69024.0,16.85026
